0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.46096104,-0.22226179,-2.5138633,1.2478817,-0.5710832,-0.17741899,0.6235541,-0.7927895,-0.62040055,-0.34087366,1.8148559,-0.0531894,0.17532444,-1.1757473,0.030162603,-1.1011158,1.635297,-0.61274517,0.4991585,-0.74893343,-0.020297676,1.0288073,1.492406,-0.19378205,-0.8525449,-0.5606632,1.1181753,0.68191695,0.27607244,1.0814843,-0.008278156,-0.92059404,1.3352238,-0.06635922,-0.93044233,1.1916652,-1.0173765,-1.6519535,-1.3425138,-2.203077,0.95303863,-0.37047586,0.26599398,1.01513,1.0000407,-0.40687576,-0.67064184,-0.12955908,-0.65137863,2.4286375
0.48786956,-0.105262406,-0.95834464,0.45193136,0.57447505,-0.4524706,-0.35368168,-0.49377874,0.7129506,-0.15855497,-0.7337983,-0.21952215,1.5946902,-0.28752476,1.7051821,-0.017538138,-0.8279715,-1.1955978,1.7566464,1.3310734,0.8676641,-1.2980874,-1.6370096,0.12973668,0.93046504,-0.41577095,0.025436854,-1.5096549,-0.064692736,-1.1572309,0.13268682,-1.2554758,-0.4449308,-0.37434745,1.5511954,-2.689541,-0.5818535,-0.05463336,0.03529214,1.2430985,0.44593745,1.1098025,0.21841761,-1.1045811,0.37743422,0.84497845,-0.4990724,-0.68671364,-1.3425312,1.0475281
1.8439088,1.5438205,-0.35411498,-0.671412,-2.1590896,-1.1037337,-1.2180846,0.57021093,-0.18551399,0.63433844,-0.6747705,-1.8385758,-0.65691715,-0.48553216,1.094087,0.6672501,1.2639211,0.20041668,0.1714413,1.7577735,-0.7671435,-0.6874876,0.579255,0.8283229,2.6756766,-1.0397043,1.0829524,0.1018253,-0.0063653574,-0.52571476,0.9072015,0.5083735,1.3981879,0.72902256,0.62664056,-0.10291635,-0.19530968,-0.29449126,-0.7875953,-0.8950146,-0.5703013,0.08632369,-0.12879959,-2.4674275,0.935814,-0.41029307,-1.2644914,-2.8109233,-1.3121885,-1.7662022
-0.4043964,-0.50501037,0.2851511,0.78057396,1.2397494,0.5674509,1.6736964,0.18872048,1.4084216,1.5473738,0.27910876,0.5195432,-0.1413886,0.7863747,-0.256735,0.6996618,1.004843,0.3539238,0.3531652,0.86841893,-0.08733967,-0.29818663,0.041891158,0.033826258,0.93753546,-2.0314193,0.21067229,0.43087682,-1.3889288,-1.4233466,-0.06010647,0.09059637,0.1121876,1.3726285,-0.39146674,-0.2136847,-0.8224262,-0.33276185,-0.6149778,0.62245,0.66105175,0.24412557,0.34288082,-0.21266133,-0.10025033,1.0279207,-0.30918288,-0.030642515,-1.0571995,-0.30263978
-1.0888282,-0.7826149,1.1925198,-0.07258927,0.094125465,1.2360225,-1.8029683,0.22927648,-1.8979746,0.4869317,0.73079145,0.46352455,0.3286727,0.6906629,1.0522541,-1.8989272,-0.43616527,-0.3126978,0.84154814,-0.33490154,-0.103914894,-0.5767985,1.8744829,-0.28906018,-4.3652787,0.5002601,0.2141165,0.84036916,0.2859102,1.4182148,0.35750443,0.12467257,0.58692306,-0.4599791,1.4590732,-0.23617765,0.77191484,0.6031255,1.1094685,2.175797,-1.0695223,1.3059189,0.24600688,-0.43493405,-0.89249533,0.5929132,0.12409823,-0.20972098,-0.95216095,-0.29898986
-0.4586257,-1.3170383,1.5744474,-0.9084574,0.39625052,-0.17894961,-0.14876887,0.679104,0.98144805,0.6347685,-1.2819518,0.22891174,0.4954642,0.92997134,0.37913233,-0.37724566,-0.55453587,-1.3667545,0.40721896,0.6024863,-0.1832186,-0.7224263,0.34627172,1.3572063,1.3961653,1.6544557,-1.1527807,-0.56948686,0.2411872,0.38556364,0.4972493,2.812433,0.924202,0.9460212,2.3212647,0.45616415,-0.35589045,0.27589035,0.43369442,1.0350709,1.603604,0.06458075,-0.095026486,-0.043935075,0.92428195,0.0327504,1.5328727,-1.2544233,-0.6040681,-0.6624018
0.6948262,0.44841287,-0.8543115,0.24510236,0.12834062,-0.115277834,0.4967178,-0.5954841,-0.13486882,-1.2641869,0.7993477,0.8859206,-2.4526012,1.9377457,-0.05331678,-1.0771767,-0.79803807,1.4684879,1.8117963,1.4673747,0.2536873,-1.1975061,-0.3925804,0.34870026,0.9461351,-0.7960947,0.5811053,-0.97651833,-1.7544696,0.9364007,-1.4458201,0.52906233,0.0054169865,0.22863206,0.69921,-0.71940434,-1.7798477,-0.82872295,0.4641167,-0.64551437,1.2838678,0.49448895,0.78392726,1.5021477,1.0146651,1.3782992,0.51093966,0.85963553,-0.50560695,0.41288882
-0.048164535,1.8352108,-0.53943753,0.5066076,0.7532071,-0.23759225,-0.12978186,1.2732364,1.1120567,-1.543773,0.511729,0.7823663,0.6457763,-0.9157751,-0.79780257,0.45052058,0.56085443,0.42338493,-0.52289635,-1.6255991,0.30028632,-1.0030195,-0.07308577,-0.017614111,0.68129563,0.112595186,1.6982943,-0.50786483,0.00945501,1.5230119,0.31011915,0.68350583,-0.6452779,-0.37007228,-0.5373358,-0.22784176,-0.03312254,-0.7161391,-0.5681928,-0.26445124,1.3238223,-0.5757867,0.28785256,-0.19064757,-1.4800743,0.59388137,1.020445,-2.403155,-0.15613957,-1.2502952
-2.6884165,0.5256351,0.9958174,1.1240976,-0.23578046,-1.1108731,0.26499534,1.933305,1.5473719,0.21423745,-1.5600951,-0.956259,-0.21316352,-0.35864845,-0.88007796,1.0030289,0.25501037,0.2814744,1.532409,0.5040779,-0.46788546,-0.3822385,-1.6441904,0.16968292,1.8796074,2.0603666,-1.0291487,1.2110608,0.15232526,0.30229443,0.939429,-1.6170286,-0.62885606,-0.19869746,0.33224475,-0.17380108,-0.42890048,1.82657,-0.16643348,-0.1261782,0.095777504,0.19015065,0.15759534,0.0706878,0.43871808,1.287983,0.11719832,-0.11597868,1.2272621,-0.15009983
-0.64859146,-0.0067861113,-0.2983716,0.258618,-0.45896828,-1.3066376,-1.3760408,1.3606327,0.24136508,0.16636625,0.73341835,0.9054645,0.79935366,0.045197964,0.5863782,-0.5749941,0.67751557,-1.2921512,0.37052116,0.70554334,0.87252605,0.8366148,0.32569253,0.38242742,1.1940664,0.14048404,0.29789492,0.28588244,-0.06607864,-0.58258235,-0.5217568,-0.59843117,2.2186477,-1.6239157,-1.336966,0.0050933696,0.2647203,-1.6482292,-2.4668665,0.6008012,2.4041362,-0.9557593,-0.5236715,1.5040718,0.064406075,-0.45622256,0.21041048,0.37334052,-1.6920979,-0.2577975
